name,rating,review_count,is_closed,price,city,categories,price_clean
C Level,4.3,5329,False,$$,San Diego,"New American, Seafood, Steakhouses",$$
Ristorante Illando,4.4,3329,False,$$,San Diego,Italian,$$
Flama Llama,4.7,3833,False,$$,San Diego,"Latin American, Peruvian, Asian Fusion",$$
Cesarina,4.7,3297,False,$$$,San Diego,"Italian, Cocktail Bars, Desserts",$$$
The Remy,4.5,533,False,,San Diego,"Steakhouses, Desserts, Salad",Unknown
Allegro Restaurant and Bar,4.0,2049,False,$$$,San Diego,"Italian, Venues & Event Spaces, Seafood",$$$
Wolf in the Woods,4.6,476,False,$$$,San Diego,"Wine Bars, Modern European, Tapas Bars",$$$
formoosa,4.7,5212,False,$$,San Diego,"Taiwanese, Coffee & Tea, Noodles",$$
Steamy Piggy,4.4,7510,False,$$,San Diego,"Chinese, Asian Fusion, Ramen",$$
Gravity Heights - Mission Valley,4.6,448,False,$$,San Diego,"Breakfast & Brunch, American, Brewpubs",$$
insideOUT,4.4,1282,False,$$,San Diego,"Lounges, Cocktail Bars, Mediterranean",$$
Ironside Fish & Oyster,4.2,5984,False,$$,San Diego,"Seafood, Live/Raw Food",$$
Khachapuri,4.6,25,False,,San Diego,Georgian,Unknown
Fortuna Ristorante Italiano,4.9,188,False,,San Diego,"Italian, Wine Bars",Unknown
Malibu Farm,4.5,1970,False,,San Diego,"Breakfast & Brunch, Desserts, Venues & Event Spaces",Unknown
Pomegranate Russian-Georgian Restaurant,4.4,2240,False,$$,San Diego,"Russian, Georgian",$$
Noodle & Bun,4.9,98,False,$$,San Diego,"Chinese, Noodles, Asian Fusion",$$
Leila,4.0,907,False,$$$$,San Diego,"Middle Eastern, Cocktail Bars, Halal",$$$$
Woomiok,4.6,1615,False,$$,San Diego,"Korean, Soup, Breakfast & Brunch",$$
Freddy’s Chophouse,4.8,889,False,,San Diego,"American, Steakhouses, Cocktail Bars",Unknown
Juniper and Ivy,4.1,3537,False,$$$$,San Diego,"New American, Bars, Tapas/Small Plates",$$$$
Shorebird,4.5,72,False,,San Diego,"New American, Seafood, Steakhouses",Unknown
Phil's BBQ,4.3,16890,False,$$,San Diego,"Barbeque, Bars, American",$$
Cucina Urbana,4.4,4870,False,$$$,San Diego,"Italian, Pizza, Wine Bars",$$$
Piedra Santa,4.7,229,False,,San Diego,Steakhouses,Unknown
Din Tai Fung,4.4,6343,False,$$$,San Diego,"Taiwanese, Dim Sum, Shanghainese",$$$
Labora,4.5,65,False,$,San Diego,"Coffee & Tea, Sandwiches, Cafes",$
The Red Door,4.4,1732,False,$$,San Diego,"Cocktail Bars, Italian, Modern European",$$
Animae,4.4,1466,False,$$$,San Diego,"Asian Fusion, Cocktail Bars",$$$
Carbon Angela’s Kitchen,4.7,246,False,,San Diego,"Italian, Wine Bars, Steakhouses",Unknown
Yuk Dae Jang,4.5,394,False,$$,San Diego,Korean,$$
Coasterra,4.0,3939,False,$$$,San Diego,"Mexican, Venues & Event Spaces",$$$
Havana Grill,4.1,642,False,$$,San Diego,"Cuban, Bakeries, Desserts",$$
Trust,4.3,1579,False,$$,San Diego,"New American, Breakfast & Brunch",$$
Bahn Thai,4.5,3413,False,$$,San Diego,Thai,$$
Island Prime,4.3,2859,False,$$$,San Diego,"Seafood, Steakhouses, American",$$$
Xinjiang  BBQ,4.7,473,False,$$,San Diego,"Asian Fusion, Barbeque, Chinese",$$
Homestyle Hawaiian,3.9,2269,False,$$,San Diego,"Hawaiian, Salad, Seafood",$$
AKA,4.3,382,False,,San Diego,"Asian Fusion, Japanese, Cocktail Bars",Unknown
Tabu Shabu - North Park,4.6,674,False,$$,San Diego,"Japanese, Hot Pot",$$
Park Social,4.3,597,False,$$,San Diego,"Bars, Breakfast & Brunch, Coffee & Tea",$$
Flor’s Farm to Table,4.6,441,False,$$,San Diego,"New Mexican Cuisine, Breakfast & Brunch, Tacos",$$
Barbusa,4.2,3648,False,$$,San Diego,"Italian, Seafood, Cocktail Bars",$$
Romanella Cucina Romana,4.9,134,False,,San Diego,Italian,Unknown
Flor’s,5.0,4,False,,San Diego,"Mexican, Speakeasies",Unknown
Herb & Wood,4.1,2178,False,$$$,San Diego,"New American, Seafood, Mediterranean",$$$
The Prado,3.9,3568,False,$$$,San Diego,"New American, Beer Bar",$$$
Tom Ham's Lighthouse,4.0,3053,False,$$$,San Diego,"Breakfast & Brunch, Seafood, Buffets",$$$
Mabel's Gone Fishing,4.3,474,False,$$$,San Diego,"Seafood, Tapas/Small Plates, Spanish",$$$
Mike's Red Tacos - Point Loma,4.8,811,False,$$,San Diego,Tacos,$$
Mike's Red Tacos,4.6,1494,False,$$,San Diego,Tacos,$$
Common Stock,4.7,1138,False,$$,San Diego,"New American, Whiskey Bars, Cocktail Bars",$$
Del's Hideout,4.3,1178,False,$$,San Diego,"Barbeque, Salad, Burgers",$$
Fort Oak,4.2,705,False,$$$,San Diego,"New American, Desserts, Bars",$$$
Cocina De Barrio,4.8,254,False,,San Diego,"Breakfast & Brunch, Mexican, Cocktail Bars",Unknown
BoujieMana,4.6,345,False,$$$,San Diego,"Mediterranean, Salad, Pizza",$$$
Villain’s Brewing,4.5,291,False,$$,San Diego,"Brewpubs, American, Cocktail Bars",$$
Vulture,4.1,79,False,,San Diego,Restaurants,Unknown
Rosemarie’s,4.6,508,False,$$,San Diego,"Sandwiches, Burgers, Cocktail Bars",$$
Bencotto Italian Kitchen,4.1,3533,False,$$,San Diego,"Italian, Bars, Desserts",$$
Goi Cuon,4.5,876,False,$$,San Diego,Vietnamese,$$
Buona Forchetta,4.4,3718,False,$$,San Diego,"Pizza, Italian",$$
Communion,4.0,199,False,,San Diego,"Desserts, Seafood, Cocktail Bars",Unknown
Cafe Coyote,3.8,8327,False,$$,San Diego,"Mexican, Venues & Event Spaces, Cocktail Bars",$$
Costa Brava,4.4,2697,False,$$,San Diego,"Tapas Bars, Spanish, Basque",$$
Wa Dining OKAN,4.3,1497,False,$$,San Diego,Japanese,$$
Siamo Napoli,4.7,1972,False,$$$,San Diego,"Italian, Vegan, Pizza",$$$
Quixote,4.0,575,False,$$$,San Diego,Mexican,$$$
La Puerta,4.4,492,False,$$,San Diego,"Mexican, Cocktail Bars",$$
Louisiana Charlie's San Diego,4.4,421,False,$$,San Diego,"Cajun/Creole, Barbeque, Seafood",$$
Water Grill - San Diego,4.4,3677,False,$$$,San Diego,Seafood,$$$
Hongyuan Kebab,4.3,149,False,,San Diego,"Asian Fusion, Kebab, Seafood",Unknown
Bud's Louisiana Cafe,4.4,2942,False,$$,San Diego,"Cajun/Creole, Cafes, Sandwiches",$$
Piacere Mio - South Park,4.5,2206,False,$$,San Diego,"Italian, Wine Bars, Seafood",$$
Cori Pastificio Trattoria,4.5,618,False,$$$,San Diego,"Italian, Wine Bars",$$$
Cross Street,4.3,2418,False,$$,San Diego,"Korean, Beer Bar, Chicken Wings",$$
Rare Society,4.2,624,False,$$$$,San Diego,Steakhouses,$$$$
Born & Raised,4.1,3268,False,$$$$,San Diego,"Steakhouses, Beer, Wine & Spirits, Cocktail Bars",$$$$
Puesto at the Headquarters,4.1,5506,False,$$,San Diego,"Mexican, Cocktail Bars",$$
Shan Xi Magic Kitchen,4.2,2250,False,$$,San Diego,"Chinese, Noodles, Seafood",$$
The Crack Shack,4.1,5751,False,$$,San Diego,"New American, Sandwiches, Chicken Shop",$$
Tahini,4.6,1396,False,$$,San Diego,"Mediterranean, Middle Eastern, Halal",$$
Bhojan Griha,4.6,362,False,$$,San Diego,Himalayan/Nepalese,$$
Pesto Italian Craft Kitchen,4.5,831,False,$$,San Diego,"Pizza, Italian, Salad",$$
Komatsuya,4.4,72,False,$$$$,San Diego,"Japanese, Wine Bars",$$$$
Alchemy Choose Thy Poison,4.8,124,False,,San Diego,"Mexican, Seafood, Cocktail Bars",Unknown
Fish With You,4.8,331,False,$$,San Diego,"Chinese, Seafood, Soup",$$
Louisiana Purchase,4.1,1692,False,$$$,San Diego,"Cocktail Bars, Cajun/Creole, Seafood",$$$
RustiCucina,4.6,1447,False,$$,San Diego,"Italian, Cocktail Bars",$$
Dockside 1953,3.9,190,False,$$$,San Diego,"Seafood, Breakfast & Brunch, Cocktail Bars",$$$
Cafe Sevilla,4.0,4701,False,$$,San Diego,"Spanish, Tapas/Small Plates, Music Venues",$$
Adrian's Surf N' Turf Grill,4.8,810,False,$$,San Diego,"Seafood, Steakhouses, Sandwiches",$$
Theresa’s Italian Steakhouse,3.9,111,False,,San Diego,"American, Steakhouses, Italian",Unknown
So Saap,4.3,684,False,$$,San Diego,"Thai, Laotian, Vegan",$$
Wood Ranch Mission Valley,4.0,1346,False,$$,San Diego,"Steakhouses, Barbeque, American",$$
Galpão Gaucho Brazilian Steakhouse,4.7,834,False,$$$$,San Diego,"Brazilian, Steakhouses",$$$$
Classics Malt Shop,4.8,1585,False,$$,San Diego,"American, Ice Cream & Frozen Yogurt, Hot Dogs",$$
Old Town Urban Market,4.3,50,False,$$,San Diego,Food Court,$$
Steamy Piggy Point Loma,4.8,281,False,$$,San Diego,Chinese,$$
DASHI,4.8,63,False,,San Diego,"Japanese, Sushi Bars, Wine Bars",Unknown
Makai Sushi,4.9,279,False,$$,San Diego,"Sushi Bars, Seafood, Poke",$$
Azuki Sushi,4.4,3530,False,$$$,San Diego,"Sushi Bars, Japanese, Seafood",$$$
Himalayan Spice & Savor,4.7,56,False,,San Diego,"Indian, Himalayan/Nepalese",Unknown
100s Seafood Grill Buffet,3.9,1995,False,$$$,San Diego,"Buffets, Seafood, Desserts",$$$
North Italia,3.9,1390,False,$$,San Diego,"Italian, Pizza, Cocktail Bars",$$
True Food Kitchen,4.2,3260,False,$$,San Diego,"New American, Breakfast & Brunch, Comfort Food",$$
Hatsuzakura,4.4,511,False,$$,San Diego,"Japanese, Desserts, Coffee & Tea",$$
Blue Water,4.2,4450,False,$$,San Diego,"Seafood, Seafood Markets",$$
Tanuki,4.4,510,False,$$,San Diego,"Sushi Bars, Izakaya, Tapas/Small Plates",$$
Kingfisher,4.3,636,False,,San Diego,"Vietnamese, Cocktail Bars, French",Unknown
Pho Nom,4.6,635,False,$$,San Diego,"Vietnamese, Noodles, Coffee & Tea",$$
Soup Du Jour,4.7,434,False,$$,San Diego,"Soup, Asian Fusion, Comfort Food",$$
Starlite,4.1,2400,False,$$,San Diego,"Cocktail Bars, Gastropubs",$$
Bosforo,4.5,181,False,,San Diego,"Turkish, Cocktail Bars",Unknown
Puesto Mission Valley,4.0,1455,False,$$,San Diego,"Mexican, Bars, Venues & Event Spaces",$$
The Fire Spot,4.5,679,False,$$$,San Diego,"Barbeque, Chinese, Korean",$$$
Wormwood,4.3,447,False,$$,San Diego,"French, Cocktail Bars, Breakfast & Brunch",$$
So Good Thai Cuisine,4.8,86,False,,San Diego,"Thai, Noodles, Vegetarian",Unknown
Brisa Restaurant & Bar,4.5,243,False,$$$,San Diego,"Bars, Sushi Bars, Live/Raw Food",$$$
Blue Water Seafood Market & Grill - Ocean Beach,4.3,702,False,$$,San Diego,"Seafood, Seafood Markets",$$
Kindred,4.4,1897,False,$$,San Diego,"Cocktail Bars, Vegan, American",$$
Roman Wolves,4.5,609,False,$$$,San Diego,"Italian, Bars",$$$
Chin's Szechwan - Point Loma,4.4,146,False,,San Diego,"Chinese, Noodles, Soup",Unknown
Bopomofo Cafe,4.3,389,False,$$,San Diego,"Sandwiches, Cafes, Bubble Tea",$$
Choi's,4.7,554,False,$$$,San Diego,"Korean, Cocktail Bars, Asian Fusion",$$$
El Agave Restaurant & Tequileria,3.9,1119,False,$$,San Diego,"Mexican, Bars",$$
Botanica,4.5,280,False,$$,San Diego,"Cocktail Bars, Tapas/Small Plates",$$
King's Fish House - Mission Valley,3.9,1650,False,$$,San Diego,Seafood,$$
Ketch Grill & Taps,4.1,997,False,$$,San Diego,"Salad, Cocktail Bars, Sandwiches",$$
BHATTI HIMALAYAN GRILL Indian Cuisine,4.5,100,False,$$,San Diego,"Indian, Himalayan/Nepalese, Buffets",$$
Bock South Park,4.4,50,False,$$,San Diego,"Beer Bar, Wine Bars, German",$$
Warung RieRie,4.8,87,False,,San Diego,Indonesian,Unknown
Brigantine - Portside Pier,3.9,2060,False,$$$,San Diego,"Seafood, Tapas/Small Plates, Bars",$$$
Sally's,3.9,1395,False,$$$,San Diego,"Seafood, American, Bars",$$$
Witherby,4.8,40,False,,San Diego,"New American, Cocktail Bars, Tapas/Small Plates",Unknown
Shrimp Heads,4.5,1602,False,$$,San Diego,"Cajun/Creole, Seafood",$$
Lazy Dog Restaurant & Bar,4.0,3035,False,$$,San Diego,"Burgers, Comfort Food, New American",$$
California Burritos,4.3,1353,False,$$,San Diego,"Mexican, Breakfast & Brunch, Burgers",$$
Shank & Bone,4.3,996,False,$$,San Diego,"Vietnamese, Bars",$$
Tasty Noodle House,3.9,1685,False,$$,San Diego,"Chinese, Noodles, Soup",$$
Taste Of Denmark,4.9,217,False,,San Diego,"Scandinavian, Comfort Food, Sandwiches",Unknown
Catania,4.5,1351,False,$$,San Diego,"Pizza, Italian, Cocktail Bars",$$
Vincenzo Cucina And Lounge,4.1,1152,False,$$,San Diego,"Italian, Breakfast & Brunch, Lounges",$$
Eddie V's Prime Seafood,4.5,2010,False,$$$,San Diego,"Seafood, Steakhouses, Lounges",$$$
Bonehead Burger Co,4.4,246,False,$$,San Diego,"Burgers, Fast Food",$$
Ichifuji,4.9,183,False,$$$$,San Diego,"Sushi Bars, Japanese",$$$$
Tahona Bar,4.1,623,False,$$,San Diego,"Cocktail Bars, Mexican",$$
ZGARA Greek Grill,4.6,247,False,$$,San Diego,Greek,$$
Hideaway,4.3,443,False,$$,San Diego,"American, Cocktail Bars",$$
Hamitbach,4.6,299,False,$$,San Diego,"Mediterranean, Kosher",$$
Brazil By The Bay,3.9,405,False,$$,San Diego,"Brazilian, Sports Bars, American",$$
