name,rating,review_count,is_closed,price,city,categories,price_clean
C Level,4.3,5328,False,$$,San Diego,"New American, Seafood, Steakhouses",$$
Ristorante Illando,4.4,3329,False,$$,San Diego,Italian,$$
Flama Llama,4.7,3833,False,$$,San Diego,"Latin American, Peruvian, Asian Fusion",$$
Cesarina,4.7,3297,False,$$$,San Diego,"Italian, Cocktail Bars, Desserts",$$$
The Remy,4.5,533,False,,San Diego,"Steakhouses, Desserts, Salad",Unknown
Allegro Restaurant and Bar,4.0,2049,False,$$$,San Diego,"Italian, Venues & Event Spaces, Seafood",$$$
Wolf in the Woods,4.6,476,False,$$$,San Diego,"Wine Bars, Modern European, Tapas Bars",$$$
formoosa,4.7,5212,False,$$,San Diego,"Taiwanese, Coffee & Tea, Noodles",$$
Gravity Heights - Mission Valley,4.6,448,False,$$,San Diego,"Breakfast & Brunch, American, Brewpubs",$$
Steamy Piggy,4.4,7509,False,$$,San Diego,"Chinese, Asian Fusion, Ramen",$$
insideOUT,4.4,1282,False,$$,San Diego,"Lounges, Cocktail Bars, Mediterranean",$$
Malibu Farm,4.5,1972,False,,San Diego,"Breakfast & Brunch, Desserts, Venues & Event Spaces",Unknown
Ironside Fish & Oyster,4.2,5984,False,$$,San Diego,"Seafood, Live/Raw Food",$$
Noodle & Bun,4.9,98,False,$$,San Diego,"Chinese, Noodles, Asian Fusion",$$
Phil's BBQ,4.3,16890,False,$$,San Diego,"Barbeque, Bars, American",$$
Woomiok,4.6,1615,False,$$,San Diego,"Korean, Soup, Breakfast & Brunch",$$
Shorebird,4.5,72,False,,San Diego,"New American, Seafood, Steakhouses",Unknown
Labora,4.5,65,False,$,San Diego,"Coffee & Tea, Sandwiches, Cafes",$
Khachapuri,4.6,25,False,,San Diego,Georgian,Unknown
Juniper and Ivy,4.1,3536,False,$$$$,San Diego,"New American, Bars, Tapas/Small Plates",$$$$
Din Tai Fung,4.4,6341,False,$$$,San Diego,"Taiwanese, Dim Sum, Shanghainese",$$$
Carbon Angela’s Kitchen,4.7,246,False,,San Diego,"Italian, Wine Bars, Steakhouses",Unknown
Havana Grill,4.1,642,False,$$,San Diego,"Cuban, Bakeries, Desserts, Caterers, Comfort Food",$$
Maggie's Cafe,4.4,1442,False,$$,San Diego,"Breakfast & Brunch, Burgers, American",$$
Park Social,4.3,597,False,$$,San Diego,"Bars, Breakfast & Brunch, Coffee & Tea",$$
Classics Malt Shop,4.8,1585,False,$$,San Diego,"American, Ice Cream & Frozen Yogurt, Hot Dogs",$$
Bahn Thai,4.5,3413,False,$$,San Diego,Thai,$$
Coasterra,4.0,3939,False,$$$,San Diego,"Mexican, Venues & Event Spaces",$$$
