iter	Passed	Remaining
0	27	27244
1	37	18781
2	46	15352
3	55	13817
4	63	12604
5	74	12306
6	81	11547
7	92	11528
8	101	11171
9	110	10950
10	118	10679
11	128	10564
12	138	10534
13	145	10258
14	157	10339
15	162	9974
16	173	10034
17	181	9914
18	190	9838
19	199	9785
20	208	9738
21	218	9722
22	230	9810
23	241	9827
24	252	9866
25	259	9738
26	270	9750
27	279	9702
28	287	9633
29	296	9583
30	305	9538
31	314	9520
32	326	9564
33	335	9542
34	346	9555
35	354	9501
36	366	9531
37	373	9453
38	383	9454
39	392	9417
40	401	9391
41	410	9357
42	420	9366
43	432	9399
44	441	9362
45	450	9337
46	458	9296
47	465	9235
48	474	9207
49	481	9153
50	491	9151
51	499	9103
52	508	9087
53	523	9163
54	530	9116
55	542	9136
56	549	9093
57	559	9091
58	568	9063
59	577	9049
60	587	9049
61	596	9028
62	606	9022
63	618	9046
64	627	9019
65	633	8969
66	642	8953
67	653	8953
68	660	8913
69	672	8939
70	681	8917
71	690	8900
72	699	8880
73	710	8885
74	722	8905
75	731	8895
76	739	8860
77	749	8856
78	756	8818
79	768	8837
80	776	8812
81	786	8805
82	795	8784
83	804	8769
84	817	8799
85	826	8786
86	836	8779
87	847	8783
88	854	8749
89	866	8760
90	875	8741
91	883	8721
92	892	8702
93	903	8711
94	914	8715
95	923	8700
96	931	8671
97	940	8660
98	947	8625
99	958	8626
100	965	8595
101	975	8590
102	983	8561
103	992	8549
104	1003	8554
105	1012	8536
106	1023	8541
107	1030	8512
108	1041	8514
109	1049	8494
110	1059	8485
111	1067	8466
112	1077	8454
113	1086	8444
114	1098	8457
115	1107	8441
116	1116	8423
117	1169	8739
118	1181	8746
119	1198	8788
120	1213	8816
121	1230	8854
122	1247	8892
123	1264	8930
124	1277	8945
125	1313	9114
126	1330	9143
127	1345	9167
128	1391	9397
129	1407	9421
130	1440	9555
131	1457	9581
132	1496	9756
133	1523	9847
134	1535	9836
135	1544	9812
136	1556	9802
137	1563	9768
138	1573	9746
139	1585	9737
140	1593	9707
141	1603	9688
142	1611	9655
143	1622	9643
144	1631	9618
145	1640	9598
146	1650	9576
147	1658	9545
148	1666	9518
149	1677	9505
150	1689	9501
151	1700	9484
152	1707	9454
153	1719	9443
154	1726	9411
155	1736	9396
156	1744	9368
157	1753	9347
158	1762	9322
159	1774	9314
160	1784	9301
161	1793	9275
162	1802	9254
163	1810	9229
164	1818	9202
165	1828	9187
166	1836	9159
167	1847	9148
168	1854	9120
169	1864	9102
170	1876	9096
171	1883	9067
172	1893	9053
173	1901	9027
174	1913	9020
175	1922	8999
176	1930	8978
177	1940	8962
178	1948	8937
179	1957	8916
180	1968	8905
181	1978	8894
182	1988	8876
183	1995	8848
184	2004	8828
185	2011	8804
186	2022	8790
187	2029	8763
188	2039	8751
189	2047	8728
190	2056	8711
191	2068	8706
192	2077	8685
193	2086	8668
194	2094	8646
195	2105	8637
196	2113	8613
197	2123	8602
198	2132	8582
199	2140	8563
200	2150	8549
201	2160	8533
202	2169	8518
203	2180	8508
204	2189	8491
205	2199	8478
206	2206	8453
207	2216	8438
208	2223	8414
209	2233	8403
210	2241	8380
211	2250	8365
212	2263	8364
213	2277	8364
214	2284	8341
215	2293	8323
216	2302	8306
217	2310	8288
218	2318	8267
219	2326	8249
220	2334	8228
221	2344	8214
222	2351	8194
223	2360	8179
224	2373	8176
225	2383	8163
226	2393	8149
227	2400	8128
228	2412	8121
229	2419	8100
230	2429	8088
231	2439	8074
232	2447	8057
233	2456	8040
234	2467	8031
235	2479	8027
236	2489	8014
237	2501	8007
238	2512	8001
239	2523	7989
240	2580	8126
241	2596	8131
242	2626	8181
243	2642	8187
244	2655	8184
245	2716	8326
246	2734	8337
247	2771	8404
248	2787	8407
249	2802	8407
250	2810	8388
251	2850	8461
252	2871	8478
253	2880	8459
254	2890	8443
255	2900	8428
256	2907	8405
257	2917	8391
258	2925	8369
259	2937	8359
260	2945	8340
261	2955	8325
262	2966	8313
263	2974	8292
264	2984	8278
265	2991	8255
266	3002	8242
267	3012	8229
268	3021	8210
269	3031	8195
270	3041	8182
271	3052	8168
272	3062	8156
273	3072	8141
274	3082	8125
275	3091	8110
276	3099	8089
277	3109	8075
278	3116	8054
279	3126	8039
280	3137	8028
281	3148	8016
282	3157	8000
283	3171	7996
284	3179	7975
285	3188	7960
286	3195	7939
287	3205	7924
288	3212	7904
289	3226	7898
290	3234	7881
291	3244	7868
292	3253	7850
293	3264	7838
294	3273	7822
295	3282	7806
296	3291	7790
297	3299	7773
298	3307	7754
299	3317	7741
300	3328	7729
301	3338	7716
302	3347	7700
303	3357	7687
304	3369	7678
305	3377	7659
306	3386	7644
307	3394	7627
308	3402	7608
309	3412	7594
310	3420	7577
311	3431	7567
312	3439	7548
313	3448	7534
314	3460	7525
315	3468	7507
316	3479	7496
317	3486	7477
318	3496	7464
319	3503	7445
320	3514	7434
321	3523	7418
322	3531	7402
323	3539	7385
324	3549	7372
325	3561	7363
326	3568	7344
327	3579	7333
328	3588	7317
329	3595	7300
330	3606	7289
331	3614	7271
332	3627	7265
333	3636	7250
334	3646	7237
335	3657	7228
336	3666	7213
337	3675	7199
338	3685	7185
339	3692	7168
340	3702	7154
341	3710	7138
342	3721	7128
343	3728	7110
344	3738	7097
345	3750	7089
346	3758	7072
347	3768	7060
348	3775	7043
349	3787	7033
350	3794	7015
351	3804	7003
352	3813	6990
353	3820	6972
354	3829	6958
355	3841	6948
356	3852	6938
357	3861	6924
358	3870	6910
359	3880	6897
360	3887	6880
361	3899	6872
362	3908	6858
363	3917	6845
364	3928	6834
365	3935	6817
366	3945	6805
367	3958	6797
368	3967	6783
369	3977	6772
370	3984	6755
371	3996	6747
372	4005	6732
373	4014	6719
374	4024	6706
375	4031	6691
376	4041	6677
377	4053	6670
378	4063	6657
379	4073	6645
380	4080	6629
381	4091	6620
382	4099	6603
383	4109	6592
384	4118	6578
385	4127	6565
386	4137	6553
387	4148	6542
388	4160	6535
389	4168	6520
390	4179	6509
391	4188	6497
392	4200	6487
393	4211	6477
394	4223	6469
395	4231	6454
396	4242	6444
397	4253	6433
398	4264	6423
399	4272	6408
400	4280	6394
401	4288	6379
402	4298	6368
403	4306	6352
404	4317	6342
405	4324	6327
406	4334	6315
407	4344	6304
408	4353	6291
409	4363	6279
410	4371	6264
411	4382	6254
412	4390	6240
413	4400	6228
414	4408	6214
415	4416	6200
416	4425	6186
417	4435	6175
418	4447	6167
419	4457	6155
420	4465	6140
421	4474	6129
422	4482	6113
423	4493	6104
424	4501	6090
425	4511	6079
426	4520	6065
427	4530	6054
428	4540	6043
429	4546	6027
430	4556	6015
431	4564	6001
432	4575	5992
433	4585	5980
434	4593	5966
435	4604	5955
436	4611	5941
437	4621	5929
438	4632	5919
439	4641	5906
440	4650	5894
441	4657	5880
442	4670	5872
443	4679	5859
444	4688	5846
445	4696	5833
446	4703	5818
447	4711	5804
448	4720	5792
449	4733	5785
450	4739	5769
451	4748	5756
452	4757	5744
453	4770	5736
454	4778	5724
455	4792	5717
456	4803	5707
457	4814	5696
458	4827	5690
459	4841	5682
460	4851	5672
461	4862	5661
462	4873	5652
463	4883	5640
464	4893	5629
465	4903	5618
466	4914	5608
467	4926	5600
468	4939	5592
469	4949	5581
470	4961	5571
471	4969	5558
472	4979	5547
473	4988	5536
474	4996	5522
475	5004	5509
476	5016	5500
477	5026	5488
478	5036	5477
479	5046	5466
480	5058	5458
481	5066	5445
482	5077	5434
483	5086	5422
484	5095	5411
485	5108	5402
486	5117	5391
487	5129	5381
488	5139	5370
489	5147	5358
490	5158	5347
491	5172	5340
492	5181	5328
493	5193	5319
494	5205	5310
495	5215	5299
496	5229	5292
497	5238	5280
498	5251	5272
499	5261	5261
500	5272	5251
501	5283	5241
502	5292	5229
503	5300	5216
504	5309	5204
505	5319	5193
506	5330	5183
507	5339	5171
508	5349	5160
509	5359	5149
510	5367	5136
511	5378	5126
512	5393	5120
513	5405	5111
514	5421	5105
515	5429	5092
516	5438	5080
517	5445	5066
518	5455	5056
519	5463	5042
520	5472	5031
521	5481	5019
522	5491	5008
523	5501	4997
524	5511	4986
525	5522	4976
526	5530	4963
527	5540	4952
528	5550	4941
529	5558	4929
530	5570	4919
531	5577	4906
532	5587	4895
533	5596	4883
534	5605	4871
535	5617	4863
536	5625	4850
537	5637	4841
538	5645	4828
539	5656	4818
540	5667	4808
541	5674	4795
542	5684	4784
543	5693	4772
544	5705	4763
545	5716	4753
546	5724	4740
547	5732	4728
548	5741	4716
549	5750	4704
550	5760	4694
551	5768	4681
552	5778	4671
553	5786	4658
554	5795	4646
555	5808	4638
556	5815	4625
557	5825	4614
558	5832	4601
559	5845	4592
560	5853	4580
561	5861	4568
562	5870	4556
563	5878	4544
564	5886	4532
565	5897	4522
566	5908	4511
567	5916	4500
568	5925	4488
569	5934	4476
570	5943	4465
571	5952	4453
572	5959	4441
573	5969	4430
574	5976	4417
575	5989	4408
576	5997	4396
577	6006	4385
578	6019	4376
579	6027	4364
580	6038	4354
581	6047	4343
582	6055	4331
583	6065	4320
